# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Web Edition
# File: C:\Users\ea924\Downloads\VGA_640x480_m4k\VGA_m4k\DE2_70_TOP.csv
# Generated on: Mon Jul 06 19:50:53 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
VGA_G[5],Output,PIN_A12,3,B3_N0,,,VGA_G[9..0],,
VGA_G[4],Output,PIN_B12,3,B3_N0,,,VGA_G[9..0],,
VGA_G[3],Output,PIN_C12,3,B3_N1,,,VGA_G[9..0],,
VGA_G[2],Output,PIN_A11,3,B3_N1,,,VGA_G[9..0],,
VGA_G[1],Output,PIN_B11,3,B3_N1,,,VGA_G[9..0],,
VGA_G[0],Output,PIN_A10,3,B3_N1,,,VGA_G[9..0],,
VGA_HS,Output,PIN_J19,4,B4_N1,,,,,
VGA_R[9],Output,PIN_G20,4,B4_N1,,,VGA_R[9..0],,
VGA_R[8],Output,PIN_E20,4,B4_N2,,,VGA_R[9..0],,
VGA_R[7],Output,PIN_F20,4,B4_N2,,,VGA_R[9..0],,
VGA_R[6],Output,PIN_H20,4,B4_N1,,,VGA_R[9..0],,
VGA_R[5],Output,PIN_G21,4,B4_N0,,,VGA_R[9..0],,
VGA_R[4],Output,PIN_H21,4,B4_N0,,,VGA_R[9..0],,
VGA_R[3],Output,PIN_D22,4,B4_N1,,,VGA_R[9..0],,
VGA_R[2],Output,PIN_E22,4,B4_N0,,,VGA_R[9..0],,
VGA_R[1],Output,PIN_E23,4,B4_N0,,,VGA_R[9..0],,
VGA_R[0],Output,PIN_D23,4,B4_N1,,,VGA_R[9..0],,
VGA_SYNC,Output,PIN_B15,3,B3_N0,,,,,
VGA_VS,Output,PIN_H19,4,B4_N1,,,,,
,Unknown,PIN_K10,,,,,,,
,Unknown,PIN_J9,,,,,,,
,Unknown,PIN_J8,,,,,,,
,Unknown,PIN_G7,2,B2_N0,,,,,
,Unknown,PIN_K9,,,,,,,
,Unknown,PIN_H7,2,B2_N0,,,,,
,Unknown,PIN_H8,2,B2_N0,,,,,
,Unknown,PIN_G5,2,B2_N0,,,,,
,Unknown,PIN_G6,2,B2_N0,,,,,
,Unknown,PIN_F3,2,B2_N0,,,,,
,Unknown,PIN_F4,2,B2_N0,,,,,
,Unknown,PIN_H5,2,B2_N0,,,,,
,Unknown,PIN_H6,2,B2_N0,,,,,
,Unknown,PIN_G3,2,B2_N0,,,,,
,Unknown,PIN_G4,2,B2_N0,,,,,
,Unknown,PIN_E3,2,B2_N0,,,,,
,Unknown,PIN_E4,2,B2_N0,,,,,
,Unknown,PIN_B2,2,B2_N0,,,,,
,Unknown,PIN_C3,,,,,,,
,Unknown,PIN_C1,,,,,,,
,Unknown,PIN_C2,2,B2_N0,,,,,
,Unknown,PIN_D2,,,,,,,
,Unknown,PIN_D3,2,B2_N1,,,,,
,Unknown,PIN_H3,,,,,,,
,Unknown,PIN_H4,2,B2_N1,,,,,
,Unknown,PIN_J7,2,B2_N1,,,,,
,Unknown,PIN_J6,2,B2_N1,,,,,
,Unknown,PIN_J5,2,B2_N1,,,,,
,Unknown,PIN_K8,2,B2_N1,,,,,
,Unknown,PIN_K7,2,B2_N1,,,,,
,Unknown,PIN_L10,,,,,,,
,Unknown,PIN_L9,2,B2_N1,,,,,
,Unknown,PIN_K6,2,B2_N1,,,,,
,Unknown,PIN_K5,,,,,,,
,Unknown,PIN_L6,,,,,,,
,Unknown,PIN_M9,,,,,,,
,Unknown,PIN_M8,2,B2_N1,,,,,
,Unknown,PIN_E1,,,,,,,
,Unknown,PIN_E2,2,B2_N1,,,,,
,Unknown,PIN_F1,2,B2_N2,,,,,
,Unknown,PIN_F2,,,,,,,
,Unknown,PIN_G1,2,B2_N2,,,,,
,Unknown,PIN_G2,2,B2_N2,,,,,
,Unknown,PIN_H1,2,B2_N2,,,,,
,Unknown,PIN_H2,2,B2_N2,,,,,
,Unknown,PIN_K3,2,B2_N2,,,,,
,Unknown,PIN_K4,,,,,,,
,Unknown,PIN_N10,2,B2_N2,,,,,
,Unknown,PIN_M10,,,,,,,
,Unknown,PIN_M6,,,,,,,
,Unknown,PIN_M7,2,B2_N2,,,,,
,Unknown,PIN_J1,,,,,,,
,Unknown,PIN_J2,2,B2_N2,,,,,
,Unknown,PIN_M5,,,,,,,
,Unknown,PIN_L3,2,B2_N2,,,,,
,Unknown,PIN_K1,2,B2_N2,,,,,
,Unknown,PIN_K2,2,B2_N2,,,,,
,Unknown,PIN_N8,,,,,,,
,Unknown,PIN_N7,,,,,,,
,Unknown,PIN_L1,2,B2_N3,,,,,
,Unknown,PIN_L2,2,B2_N3,,,,,
,Unknown,PIN_P9,2,B2_N3,,,,,
,Unknown,PIN_N9,,,,,,,
,Unknown,PIN_M1,2,B2_N3,,,,,
,Unknown,PIN_M2,2,B2_N3,,,,,
,Unknown,PIN_M3,,,,,,,
,Unknown,PIN_M4,2,B2_N3,,,,,
,Unknown,PIN_N2,2,B2_N3,,,,,
,Unknown,PIN_N3,2,B2_N3,,,,,
,Unknown,PIN_P7,2,B2_N3,,,,,
,Unknown,PIN_N4,2,B2_N3,,,,,
,Unknown,PIN_P6,2,B2_N3,,,,,
,Unknown,PIN_P3,2,B2_N3,,,,,
,Unknown,PIN_P4,2,B2_N3,,,,,
,Unknown,PIN_P1,2,B2_N3,,,,,
,Unknown,PIN_P2,2,B2_N3,,,,,
,Unknown,PIN_P8,2,B2_N3,,,,,
,Unknown,PIN_P5,2,B2_N3,,,,,
,Unknown,PIN_R7,2,B2_N3,,,,,
,Unknown,PIN_R4,2,B2_N3,,,,,
,Unknown,PIN_R9,2,B2_N3,,,,,
,Unknown,PIN_R8,2,B2_N3,,,,,
,Unknown,PIN_R6,2,B2_N3,,,,,
,Unknown,PIN_R2,2,B2_N3,,,,,
,Unknown,PIN_R3,2,B2_N3,,,,,
,Unknown,PIN_R5,2,B2_N3,,,,,
,Unknown,PIN_T2,1,B1_N0,,,,,
,Unknown,PIN_T3,1,B1_N0,,,,,
,Unknown,PIN_T6,1,B1_N0,,,,,
,Unknown,PIN_T7,1,B1_N0,,,,,
,Unknown,PIN_T4,1,B1_N0,,,,,
,Unknown,PIN_T5,1,B1_N0,,,,,
,Unknown,PIN_U1,1,B1_N0,,,,,
,Unknown,PIN_U2,1,B1_N0,,,,,
,Unknown,PIN_U5,1,B1_N0,,,,,
,Unknown,PIN_T8,1,B1_N0,,,,,
,Unknown,PIN_U8,1,B1_N0,,,,,
,Unknown,PIN_U6,1,B1_N0,,,,,
,Unknown,PIN_U7,1,B1_N0,,,,,
,Unknown,PIN_U3,1,B1_N1,,,,,
,Unknown,PIN_U4,1,B1_N1,,,,,
,Unknown,PIN_V2,1,B1_N1,,,,,
,Unknown,PIN_V3,1,B1_N1,,,,,
,Unknown,PIN_W1,1,B1_N1,,,,,
,Unknown,PIN_W2,1,B1_N1,,,,,
,Unknown,PIN_V4,1,B1_N1,,,,,
,Unknown,PIN_W3,1,B1_N1,,,,,
,Unknown,PIN_W4,1,B1_N1,,,,,
,Unknown,PIN_Y1,1,B1_N1,,,,,
,Unknown,PIN_Y2,1,B1_N1,,,,,
,Unknown,PIN_Y3,1,B1_N1,,,,,
,Unknown,PIN_Y4,1,B1_N1,,,,,
,Unknown,PIN_V9,1,B1_N1,,,,,
,Unknown,PIN_V8,1,B1_N1,,,,,
,Unknown,PIN_V7,1,B1_N1,,,,,
,Unknown,PIN_AA1,1,B1_N1,,,,,
,Unknown,PIN_AA2,1,B1_N1,,,,,
,Unknown,PIN_AA3,1,B1_N1,,,,,
,Unknown,PIN_AA4,1,B1_N1,,,,,
,Unknown,PIN_AB1,1,B1_N1,,,,,
,Unknown,PIN_AB2,1,B1_N1,,,,,
,Unknown,PIN_W9,1,B1_N2,,,,,
,Unknown,PIN_W10,1,B1_N2,,,,,
,Unknown,PIN_W6,1,B1_N2,,,,,
,Unknown,PIN_W8,1,B1_N2,,,,,
,Unknown,PIN_W7,1,B1_N2,,,,,
,Unknown,PIN_Y5,1,B1_N2,,,,,
,Unknown,PIN_AC1,1,B1_N2,,,,,
,Unknown,PIN_AC2,1,B1_N2,,,,,
,Unknown,PIN_AC3,1,B1_N2,,,,,
,Unknown,PIN_AC4,1,B1_N2,,,,,
,Unknown,PIN_AD1,1,B1_N2,,,,,
,Unknown,PIN_AD2,1,B1_N2,,,,,
,Unknown,PIN_AD3,1,B1_N2,,,,,
,Unknown,PIN_AD4,1,B1_N2,,,,,
,Unknown,PIN_AA5,1,B1_N2,,,,,
,Unknown,PIN_AA6,1,B1_N2,,,,,
,Unknown,PIN_Y9,1,B1_N2,,,,,
,Unknown,PIN_Y10,1,B1_N2,,,,,
,Unknown,PIN_Y6,1,B1_N2,,,,,
,Unknown,PIN_Y7,1,B1_N2,,,,,
,Unknown,PIN_Y8,1,B1_N2,,,,,
,Unknown,PIN_AE1,1,B1_N2,,,,,
,Unknown,PIN_AE2,1,B1_N2,,,,,
,Unknown,PIN_AA7,1,B1_N2,,,,,
,Unknown,PIN_AB6,1,B1_N3,,,,,
,Unknown,PIN_AB5,1,B1_N3,,,,,
,Unknown,PIN_AC6,1,B1_N3,,,,,
,Unknown,PIN_AC5,1,B1_N3,,,,,
,Unknown,PIN_AF1,1,B1_N3,,,,,
,Unknown,PIN_AF2,1,B1_N3,,,,,
,Unknown,PIN_AG2,1,B1_N3,,,,,
,Unknown,PIN_AG3,1,B1_N3,,,,,
,Unknown,PIN_AH1,1,B1_N3,,,,,
,Unknown,PIN_AH2,1,B1_N3,,,,,
,Unknown,PIN_AD5,,,,,,,
,Unknown,PIN_AA8,1,B1_N3,,,,,
